#2016.08.28 ap. J.-C. at 16:31:44 CEST
# player.x player.y time target.x target.y target.r insideTarget?
965 197 1472394704437 720 800 20 0
965 197 1472394704466 720 800 20 0
965 197 1472394704494 720 800 20 0
965 197 1472394704527 720 800 20 0
965 197 1472394704556 720 800 20 0
965 197 1472394704584 720 800 20 0
965 197 1472394704618 720 800 20 0
965 197 1472394704646 720 800 20 0
965 197 1472394704674 720 800 20 0
965 197 1472394704708 720 800 20 0
965 197 1472394704736 720 800 20 0
965 197 1472394704765 720 800 20 0
965 197 1472394704798 720 800 20 0
965 197 1472394704827 720 800 20 0
965 197 1472394704855 720 800 20 0
965 197 1472394704884 720 800 20 0
965 197 1472394704917 720 800 20 0
965 197 1472394704945 720 800 20 0
965 197 1472394704974 720 800 20 0
965 197 1472394705007 720 800 20 0
965 197 1472394705036 720 800 20 0
965 197 1472394705064 720 800 20 0
965 197 1472394705097 720 800 20 0
965 197 1472394705126 720 800 20 0
965 197 1472394705154 720 800 20 0
965 197 1472394705188 720 800 20 0
965 197 1472394705216 720 800 20 0
965 197 1472394705245 720 800 20 0
965 197 1472394705278 720 800 20 0
965 197 1472394705307 720 800 20 0
965 197 1472394705335 720 800 20 0
965 197 1472394705364 720 800 20 0
965 197 1472394705397 720 800 20 0
965 197 1472394705426 720 800 20 0
965 197 1472394705454 720 800 20 0
965 197 1472394705488 720 800 20 0
965 197 1472394705516 720 800 20 0
965 197 1472394705545 720 800 20 0
965 197 1472394705578 720 800 20 0
965 197 1472394705606 720 800 20 0
965 197 1472394705635 720 800 20 0
965 197 1472394705666 720 800 20 0
953 195 1472394705700 720 800 20 0
925 188 1472394705724 720 800 20 0
867 179 1472394705754 720 800 20 0
794 171 1472394705784 720 800 20 0
732 166 1472394705814 720 800 20 0
631 160 1472394705844 720 800 20 0
529 157 1472394705874 720 800 20 0
432 160 1472394705904 720 800 20 0
382 169 1472394705934 720 800 20 0
382 169 1472394705964 720 800 20 0
382 169 1472394705994 720 800 20 0
382 169 1472394706024 720 800 20 0
382 169 1472394706054 720 800 20 0
382 169 1472394706084 720 800 20 0
382 169 1472394706114 720 800 20 0
382 169 1472394706144 720 800 20 0
382 169 1472394706174 720 800 20 0
382 169 1472394706204 720 800 20 0
382 169 1472394706234 720 800 20 0
382 169 1472394706264 720 800 20 0
382 169 1472394706294 720 800 20 0
595 172 1472394706324 720 800 20 0
695 163 1472394706354 720 800 20 0
825 152 1472394706384 720 800 20 0
965 141 1472394706414 720 800 20 0
1116 130 1472394706444 720 800 20 0
1221 125 1472394706474 720 800 20 0
1378 121 1472394706504 720 800 20 0
1537 120 1472394706534 720 800 20 0
1679 121 1472394706564 720 800 20 0
1679 125 1472394706594 720 800 20 0
1679 134 1472394706624 720 800 20 0
1679 143 1472394706654 720 800 20 0
1679 149 1472394706684 720 800 20 0
1679 149 1472394706714 720 800 20 0
1679 149 1472394706744 720 800 20 0
1679 149 1472394706774 720 800 20 0
1679 149 1472394706804 720 800 20 0
1679 149 1472394706834 720 800 20 0
1679 149 1472394706864 720 800 20 0
1679 149 1472394706894 720 800 20 0
1679 149 1472394706924 720 800 20 0
1679 149 1472394706954 720 800 20 0
1679 149 1472394706984 720 800 20 0
1679 149 1472394707014 720 800 20 0
1679 149 1472394707044 720 800 20 0
1679 149 1472394707074 720 800 20 0
1679 149 1472394707104 720 800 20 0
1679 149 1472394707134 720 800 20 0
1679 149 1472394707164 720 800 20 0
1679 149 1472394707194 720 800 20 0
1679 149 1472394707224 720 800 20 0
1679 149 1472394707254 720 800 20 0
1679 149 1472394707284 720 800 20 0
1679 149 1472394707314 720 800 20 0
1679 149 1472394707344 720 800 20 0
1679 149 1472394707374 720 800 20 0
1679 149 1472394707404 720 800 20 0
1679 149 1472394707434 720 800 20 0
1679 149 1472394707464 720 800 20 0
1679 149 1472394707494 720 800 20 0
1679 149 1472394707524 720 800 20 0
1679 149 1472394707554 720 800 20 0
1679 149 1472394707584 720 800 20 0
1679 149 1472394707614 720 800 20 0
1679 149 1472394707644 720 800 20 0
1679 149 1472394707674 720 800 20 0
1679 149 1472394707704 720 800 20 0
1679 149 1472394707734 720 800 20 0
1679 149 1472394707764 720 800 20 0
1424 196 1472394707794 720 800 20 0
1374 191 1472394707824 720 800 20 0
1265 183 1472394707854 720 800 20 0
1144 176 1472394707884 720 800 20 0
1021 171 1472394707914 720 800 20 0
897 167 1472394707944 720 800 20 0
815 165 1472394707974 720 800 20 0
687 165 1472394708004 720 800 20 0
560 167 1472394708034 720 800 20 0
442 169 1472394708064 720 800 20 0
367 172 1472394708094 720 800 20 0
263 178 1472394708124 720 800 20 0
173 185 1472394708154 720 800 20 0
95 191 1472394708184 720 800 20 0
31 197 1472394708214 720 800 20 0
10 202 1472394708244 720 800 20 0
8 203 1472394708274 720 800 20 0
8 198 1472394708304 720 800 20 0
8 198 1472394708334 720 800 20 0
8 198 1472394708364 720 800 20 0
8 198 1472394708394 720 800 20 0
8 198 1472394708424 720 800 20 0
8 198 1472394708454 720 800 20 0
8 198 1472394708484 720 800 20 0
8 198 1472394708514 720 800 20 0
8 198 1472394708544 720 800 20 0
8 198 1472394708574 720 800 20 0
8 198 1472394708604 720 800 20 0
8 198 1472394708634 720 800 20 0
8 198 1472394708664 720 800 20 0
8 198 1472394708694 720 800 20 0
8 198 1472394708724 720 800 20 0
8 198 1472394708754 720 800 20 0
8 198 1472394708784 720 800 20 0
8 198 1472394708814 720 800 20 0
8 198 1472394708844 720 800 20 0
8 198 1472394708874 720 800 20 0
8 198 1472394708904 720 800 20 0
8 198 1472394708934 720 800 20 0
8 198 1472394708964 720 800 20 0
8 198 1472394708994 720 800 20 0
8 198 1472394709024 720 800 20 0
